"Area","Year","Period","Period Value","Unemployment Rate","Adjusted","Preliminary","Benchmark"
"Florence County","2012","February","201202","10.10","0","0","2021"
"Florence County","2012","January","201201","10.20","0","0","2021"
"Florence County","2011","December","201112","9.80","0","0","2021"
"Florence County","2011","November","201111","9.10","0","0","2021"
"Florence County","2011","October","201110","8.50","0","0","2021"
"Florence County","2011","September","201109","8.60","0","0","2021"
"Florence County","2011","August","201108","9.20","0","0","2021"
"Florence County","2011","July","201107","9.10","0","0","2021"
"Florence County","2011","June","201106","9.60","0","0","2021"
"Florence County","2011","May","201105","9.40","0","0","2021"
"Florence County","2011","April","201104","10.20","0","0","2021"
"Florence County","2011","March","201103","10.90","0","0","2021"
"Florence County","2011","February","201102","11.20","0","0","2021"
"Florence County","2011","January","201101","11.10","0","0","2021"
"Florence County","2010","December","201012","10.40","0","0","2021"
"Florence County","2010","November","201011","9.80","0","0","2021"
"Florence County","2010","October","201010","8.60","0","0","2021"
"Florence County","2010","September","201009","8.50","0","0","2021"
"Florence County","2010","August","201008","9.20","0","0","2021"
"Florence County","2010","July","201007","10.10","0","0","2021"
"Florence County","2010","June","201006","9.70","0","0","2021"
"Florence County","2010","May","201005","9.40","0","0","2021"
"Florence County","2010","April","201004","10.30","0","0","2021"
"Florence County","2010","March","201003","12.10","0","0","2021"
"Florence County","2010","February","201002","12.30","0","0","2021"
"Florence County","2010","January","201001","11.80","0","0","2021"
"Fond du Lac County","2022","July","202207","3","0","1","2021"
"Fond du Lac County","2022","June","202206","3.10","0","0","2021"
"Fond du Lac County","2022","May","202205","2.40","0","0","2021"
"Fond du Lac County","2022","April","202204","2.30","0","0","2021"
"Fond du Lac County","2022","March","202203","2.80","0","0","2021"
"Fond du Lac County","2022","February","202202","2.80","0","0","2021"
"Fond du Lac County","2022","January","202201","2.70","0","0","2021"
"Fond du Lac County","2021","December","202112","1.80","0","0","2021"
"Fond du Lac County","2021","November","202111","2","0","0","2021"
"Fond du Lac County","2021","October","202110","2.20","0","0","2021"
"Fond du Lac County","2021","September","202109","2.50","0","0","2021"
"Fond du Lac County","2021","August","202108","3.20","0","0","2021"
"Fond du Lac County","2021","July","202107","3.40","0","0","2021"
"Fond du Lac County","2021","June","202106","3.90","0","0","2021"
"Fond du Lac County","2021","May","202105","3.50","0","0","2021"
"Fond du Lac County","2021","April","202104","3.40","0","0","2021"
"Fond du Lac County","2021","March","202103","4.20","0","0","2021"
"Fond du Lac County","2021","February","202102","4.40","0","0","2021"
"Fond du Lac County","2021","January","202101","4.10","0","0","2021"
"Fond du Lac County","2020","December","202012","3.80","0","0","2021"
"Fond du Lac County","2020","November","202011","3.80","0","0","2021"
"Fond du Lac County","2020","October","202010","3.50","0","0","2021"
"Fond du Lac County","2020","September","202009","4.10","0","0","2021"
"Fond du Lac County","2020","August","202008","4.80","0","0","2021"
"Fond du Lac County","2020","July","202007","6.70","0","0","2021"
"Fond du Lac County","2020","June","202006","8.50","0","0","2021"
"Fond du Lac County","2020","May","202005","10.40","0","0","2021"
"Fond du Lac County","2020","April","202004","16.50","0","0","2021"
"Fond du Lac County","2020","March","202003","3.40","0","0","2021"
"Fond du Lac County","2020","February","202002","2.90","0","0","2021"
"Fond du Lac County","2020","January","202001","2.90","0","0","2021"
"Fond du Lac County","2019","December","201912","2.30","0","0","2021"
"Fond du Lac County","2019","November","201911","2.30","0","0","2021"
"Fond du Lac County","2019","October","201910","2.50","0","0","2021"
"Fond du Lac County","2019","September","201909","2.70","0","0","2021"
"Fond du Lac County","2019","August","201908","3.20","0","0","2021"
"Fond du Lac County","2019","July","201907","3.20","0","0","2021"
"Fond du Lac County","2019","June","201906","3.30","0","0","2021"
"Fond du Lac County","2019","May","201905","2.80","0","0","2021"
"Fond du Lac County","2019","April","201904","2.40","0","0","2021"
"Fond du Lac County","2019","March","201903","3","0","0","2021"
"Fond du Lac County","2019","February","201902","2.90","0","0","2021"
"Fond du Lac County","2019","January","201901","2.90","0","0","2021"
"Fond du Lac County","2018","December","201812","2.30","0","0","2021"
"Fond du Lac County","2018","November","201811","2.20","0","0","2021"
"Fond du Lac County","2018","October","201810","2.30","0","0","2021"
"Fond du Lac County","2018","September","201809","2.20","0","0","2021"
"Fond du Lac County","2018","August","201808","2.80","0","0","2021"
"Fond du Lac County","2018","July","201807","3","0","0","2021"
"Fond du Lac County","2018","June","201806","3.30","0","0","2021"
"Fond du Lac County","2018","May","201805","2.50","0","0","2021"
"Fond du Lac County","2018","April","201804","2.50","0","0","2021"
"Fond du Lac County","2018","March","201803","2.80","0","0","2021"
"Fond du Lac County","2018","February","201802","3","0","0","2021"
"Fond du Lac County","2018","January","201801","2.80","0","0","2021"
"Fond du Lac County","2017","December","201712","2.20","0","0","2021"
"Fond du Lac County","2017","November","201711","2.30","0","0","2021"
"Fond du Lac County","2017","October","201710","2.40","0","0","2021"
"Fond du Lac County","2017","September","201709","2.50","0","0","2021"
"Fond du Lac County","2017","August","201708","3.10","0","0","2021"
"Fond du Lac County","2017","July","201707","3.10","0","0","2021"
"Fond du Lac County","2017","June","201706","3.40","0","0","2021"
"Fond du Lac County","2017","May","201705","2.60","0","0","2021"
"Fond du Lac County","2017","April","201704","2.50","0","0","2021"
"Fond du Lac County","2017","March","201703","2.90","0","0","2021"
"Fond du Lac County","2017","February","201702","3.50","0","0","2021"
"Fond du Lac County","2017","January","201701","3.30","0","0","2021"
"Fond du Lac County","2016","December","201612","2.70","0","0","2021"
"Fond du Lac County","2016","November","201611","2.80","0","0","2021"
"Fond du Lac County","2016","October","201610","2.90","0","0","2021"
"Fond du Lac County","2016","September","201609","2.90","0","0","2021"
"Fond du Lac County","2016","August","201608","3.50","0","0","2021"
"Fond du Lac County","2016","July","201607","3.70","0","0","2021"
"Fond du Lac County","2016","June","201606","4","0","0","2021"
"Fond du Lac County","2016","May","201605","3.20","0","0","2021"
"Fond du Lac County","2016","April","201604","3.40","0","0","2021"
"Fond du Lac County","2016","March","201603","3.90","0","0","2021"
"Fond du Lac County","2016","February","201602","4.20","0","0","2021"
"Fond du Lac County","2016","January","201601","4","0","0","2021"
"Fond du Lac County","2015","December","201512","3.40","0","0","2021"
"Fond du Lac County","2015","November","201511","3.40","0","0","2021"
"Fond du Lac County","2015","October","201510","3.30","0","0","2021"
"Fond du Lac County","2015","September","201509","3.30","0","0","2021"
"Fond du Lac County","2015","August","201508","3.80","0","0","2021"
"Fond du Lac County","2015","July","201507","4.10","0","0","2021"
"Fond du Lac County","2015","June","201506","4.40","0","0","2021"
"Fond du Lac County","2015","May","201505","4.10","0","0","2021"
"Fond du Lac County","2015","April","201504","3.90","0","0","2021"
"Fond du Lac County","2015","March","201503","4.60","0","0","2021"
"Fond du Lac County","2015","February","201502","4.90","0","0","2021"
"Fond du Lac County","2015","January","201501","4.80","0","0","2021"
"Fond du Lac County","2014","December","201412","3.90","0","0","2021"
"Fond du Lac County","2014","November","201411","3.90","0","0","2021"
"Fond du Lac County","2014","October","201410","3.90","0","0","2021"
"Fond du Lac County","2014","September","201409","4.10","0","0","2021"
"Fond du Lac County","2014","August","201408","4.80","0","0","2021"
"Fond du Lac County","2014","July","201407","5","0","0","2021"
"Fond du Lac County","2014","June","201406","5.10","0","0","2021"
"Fond du Lac County","2014","May","201405","4.70","0","0","2021"
"Fond du Lac County","2014","April","201404","4.90","0","0","2021"
"Fond du Lac County","2014","March","201403","5.90","0","0","2021"
"Fond du Lac County","2014","February","201402","6.20","0","0","2021"
"Fond du Lac County","2014","January","201401","5.80","0","0","2021"
"Fond du Lac County","2013","December","201312","5.30","0","0","2021"
"Fond du Lac County","2013","November","201311","5.10","0","0","2021"
"Fond du Lac County","2013","October","201310","5.20","0","0","2021"
"Fond du Lac County","2013","September","201309","5.40","0","0","2021"
"Fond du Lac County","2013","August","201308","5.90","0","0","2021"
"Fond du Lac County","2013","July","201307","6.40","0","0","2021"
"Fond du Lac County","2013","June","201306","6.70","0","0","2021"
"Fond du Lac County","2013","May","201305","5.90","0","0","2021"
"Fond du Lac County","2013","April","201304","6.40","0","0","2021"
"Fond du Lac County","2013","March","201303","6.70","0","0","2021"
"Fond du Lac County","2013","February","201302","7.20","0","0","2021"
"Fond du Lac County","2013","January","201301","7.20","0","0","2021"
"Fond du Lac County","2012","December","201212","6","0","0","2021"
"Fond du Lac County","2012","November","201211","5.40","0","0","2021"
"Fond du Lac County","2012","October","201210","5.30","0","0","2021"
"Fond du Lac County","2012","September","201209","5.50","0","0","2021"
"Fond du Lac County","2012","August","201208","6.40","0","0","2021"
"Fond du Lac County","2012","July","201207","6.80","0","0","2021"
"Fond du Lac County","2012","June","201206","7","0","0","2021"
"Fond du Lac County","2012","May","201205","6.30","0","0","2021"
"Fond du Lac County","2012","April","201204","6.10","0","0","2021"
"Fond du Lac County","2012","March","201203","7.10","0","0","2021"
"Fond du Lac County","2012","February","201202","7.50","0","0","2021"
"Fond du Lac County","2012","January","201201","7.30","0","0","2021"
"Fond du Lac County","2011","December","201112","6.40","0","0","2021"
"Fond du Lac County","2011","November","201111","6.10","0","0","2021"
"Fond du Lac County","2011","October","201110","6.20","0","0","2021"
"Fond du Lac County","2011","September","201109","6.40","0","0","2021"
"Fond du Lac County","2011","August","201108","7.10","0","0","2021"
"Fond du Lac County","2011","July","201107","7.20","0","0","2021"
"Fond du Lac County","2011","June","201106","7.70","0","0","2021"
"Fond du Lac County","2011","May","201105","6.90","0","0","2021"
"Fond du Lac County","2011","April","201104","7.10","0","0","2021"
"Fond du Lac County","2011","March","201103","7.90","0","0","2021"
"Fond du Lac County","2011","February","201102","8.40","0","0","2021"
"Fond du Lac County","2011","January","201101","8.20","0","0","2021"
"Fond du Lac County","2010","December","201012","7.20","0","0","2021"
"Fond du Lac County","2010","November","201011","7.10","0","0","2021"
"Fond du Lac County","2010","October","201010","6.80","0","0","2021"
"Fond du Lac County","2010","September","201009","6.90","0","0","2021"
"Fond du Lac County","2010","August","201008","7.80","0","0","2021"
"Fond du Lac County","2010","July","201007","8","0","0","2021"
"Fond du Lac County","2010","June","201006","8.30","0","0","2021"
"Fond du Lac County","2010","May","201005","8.10","0","0","2021"
"Fond du Lac County","2010","April","201004","8.60","0","0","2021"
"Fond du Lac County","2010","March","201003","10.20","0","0","2021"
"Fond du Lac County","2010","February","201002","10.80","0","0","2021"
"Fond du Lac County","2010","January","201001","10.30","0","0","2021"
"Forest County","2022","July","202207","5.10","0","1","2021"
"Forest County","2022","June","202206","5.30","0","0","2021"
"Forest County","2022","May","202205","5.30","0","0","2021"
"Forest County","2022","April","202204","6.50","0","0","2021"
"Forest County","2022","March","202203","6.30","0","0","2021"
"Forest County","2022","February","202202","6.50","0","0","2021"
"Forest County","2022","January","202201","5.90","0","0","2021"
"Forest County","2021","December","202112","4.20","0","0","2021"
"Forest County","2021","November","202111","3.90","0","0","2021"
"Forest County","2021","October","202110","4.50","0","0","2021"
"Forest County","2021","September","202109","4.90","0","0","2021"
"Forest County","2021","August","202108","5.90","0","0","2021"
"Forest County","2021","July","202107","6.30","0","0","2021"
"Forest County","2021","June","202106","7.30","0","0","2021"
"Forest County","2021","May","202105","7.20","0","0","2021"
"Forest County","2021","April","202104","8.90","0","0","2021"
"Forest County","2021","March","202103","9.40","0","0","2021"
"Forest County","2021","February","202102","9.20","0","0","2021"
"Forest County","2021","January","202101","8.50","0","0","2021"
"Forest County","2020","December","202012","8.10","0","0","2021"
"Forest County","2020","November","202011","8.80","0","0","2021"
"Forest County","2020","October","202010","10","0","0","2021"
"Forest County","2020","September","202009","13","0","0","2021"
"Forest County","2020","August","202008","15.70","0","0","2021"
"Forest County","2020","July","202007","18.80","0","0","2021"
"Forest County","2020","June","202006","20.80","0","0","2021"
"Forest County","2020","May","202005","22.10","0","0","2021"
"Forest County","2020","April","202004","17.50","0","0","2021"
"Forest County","2020","March","202003","6.40","0","0","2021"
"Forest County","2020","February","202002","5.20","0","0","2021"
"Forest County","2020","January","202001","5.20","0","0","2021"
"Forest County","2019","December","201912","4.90","0","0","2021"
"Forest County","2019","November","201911","3.90","0","0","2021"
"Forest County","2019","October","201910","3.50","0","0","2021"
"Forest County","2019","September","201909","3.90","0","0","2021"
"Forest County","2019","August","201908","4.60","0","0","2021"
"Forest County","2019","July","201907","5.10","0","0","2021"
"Forest County","2019","June","201906","5.10","0","0","2021"
"Forest County","2019","May","201905","4.90","0","0","2021"
"Forest County","2019","April","201904","5.80","0","0","2021"
"Forest County","2019","March","201903","5.80","0","0","2021"
"Forest County","2019","February","201902","5.80","0","0","2021"
"Forest County","2019","January","201901","5.80","0","0","2021"
"Forest County","2018","December","201812","4.50","0","0","2021"
"Forest County","2018","November","201811","4","0","0","2021"
"Forest County","2018","October","201810","3.60","0","0","2021"
"Forest County","2018","September","201809","3.60","0","0","2021"
"Forest County","2018","August","201808","4.30","0","0","2021"
"Forest County","2018","July","201807","4.70","0","0","2021"
"Forest County","2018","June","201806","5.20","0","0","2021"
"Forest County","2018","May","201805","4.80","0","0","2021"
"Forest County","2018","April","201804","6.10","0","0","2021"
"Forest County","2018","March","201803","5.70","0","0","2021"
"Forest County","2018","February","201802","5.70","0","0","2021"
"Forest County","2018","January","201801","5","0","0","2021"
"Forest County","2017","December","201712","4.50","0","0","2021"
"Forest County","2017","November","201711","3.90","0","0","2021"
"Forest County","2017","October","201710","3.80","0","0","2021"
"Forest County","2017","September","201709","4.20","0","0","2021"
"Forest County","2017","August","201708","5","0","0","2021"
"Forest County","2017","July","201707","5","0","0","2021"
"Forest County","2017","June","201706","5.50","0","0","2021"
"Forest County","2017","May","201705","4.30","0","0","2021"
"Forest County","2017","April","201704","5.50","0","0","2021"
"Forest County","2017","March","201703","6.30","0","0","2021"
"Forest County","2017","February","201702","6.10","0","0","2021"
"Forest County","2017","January","201701","5.90","0","0","2021"
"Forest County","2016","December","201612","5.40","0","0","2021"
"Forest County","2016","November","201611","4.90","0","0","2021"
"Forest County","2016","October","201610","4.70","0","0","2021"
"Forest County","2016","September","201609","4.80","0","0","2021"
"Forest County","2016","August","201608","6.10","0","0","2021"
"Forest County","2016","July","201607","6.20","0","0","2021"
"Forest County","2016","June","201606","6.40","0","0","2021"
"Forest County","2016","May","201605","5.10","0","0","2021"
"Forest County","2016","April","201604","7.40","0","0","2021"
"Forest County","2016","March","201603","7.20","0","0","2021"
"Forest County","2016","February","201602","7.50","0","0","2021"
"Forest County","2016","January","201601","7.20","0","0","2021"
"Forest County","2015","December","201512","6.80","0","0","2021"
"Forest County","2015","November","201511","6.20","0","0","2021"
"Forest County","2015","October","201510","5.70","0","0","2021"
"Forest County","2015","September","201509","5.50","0","0","2021"
"Forest County","2015","August","201508","6.80","0","0","2021"
"Forest County","2015","July","201507","7.10","0","0","2021"
"Forest County","2015","June","201506","7.40","0","0","2021"
"Forest County","2015","May","201505","6.90","0","0","2021"
"Forest County","2015","April","201504","8.20","0","0","2021"
"Forest County","2015","March","201503","9.10","0","0","2021"
"Forest County","2015","February","201502","9.10","0","0","2021"
"Forest County","2015","January","201501","8.90","0","0","2021"
"Forest County","2014","December","201412","8","0","0","2021"
"Forest County","2014","November","201411","6.80","0","0","2021"
"Forest County","2014","October","201410","6.50","0","0","2021"
"Forest County","2014","September","201409","6.60","0","0","2021"
"Forest County","2014","August","201408","7.80","0","0","2021"
"Forest County","2014","July","201407","7.90","0","0","2021"
"Forest County","2014","June","201406","8.40","0","0","2021"
"Forest County","2014","May","201405","8.20","0","0","2021"
"Forest County","2014","April","201404","9.50","0","0","2021"
"Forest County","2014","March","201403","11.10","0","0","2021"
"Forest County","2014","February","201402","11.30","0","0","2021"
"Forest County","2014","January","201401","10.50","0","0","2021"
"Forest County","2013","December","201312","10.50","0","0","2021"
"Forest County","2013","November","201311","9.50","0","0","2021"
"Forest County","2013","October","201310","9.40","0","0","2021"
"Forest County","2013","September","201309","9.30","0","0","2021"
"Forest County","2013","August","201308","10.10","0","0","2021"
"Forest County","2013","July","201307","10.60","0","0","2021"
"Forest County","2013","June","201306","11.30","0","0","2021"
"Forest County","2013","May","201305","10.10","0","0","2021"
"Forest County","2013","April","201304","12.20","0","0","2021"
"Forest County","2013","March","201303","12.20","0","0","2021"
"Forest County","2013","February","201302","12.60","0","0","2021"
"Forest County","2013","January","201301","12.80","0","0","2021"
"Forest County","2012","December","201212","11","0","0","2021"
"Forest County","2012","November","201211","9.40","0","0","2021"
"Forest County","2012","October","201210","9","0","0","2021"
"Forest County","2012","September","201209","9.10","0","0","2021"
"Forest County","2012","August","201208","10.40","0","0","2021"
"Forest County","2012","July","201207","10.90","0","0","2021"
"Forest County","2012","June","201206","11.30","0","0","2021"
"Forest County","2012","May","201205","10.20","0","0","2021"
"Forest County","2012","April","201204","10.70","0","0","2021"
"Forest County","2012","March","201203","12.70","0","0","2021"
"Forest County","2012","February","201202","12.60","0","0","2021"
"Forest County","2012","January","201201","12.60","0","0","2021"
"Forest County","2011","December","201112","10.80","0","0","2021"
"Forest County","2011","November","201111","9.80","0","0","2021"
"Forest County","2011","October","201110","9.60","0","0","2021"
"Forest County","2011","September","201109","9.60","0","0","2021"
"Forest County","2011","August","201108","10.50","0","0","2021"
"Forest County","2011","July","201107","11","0","0","2021"
"Forest County","2011","June","201106","11.60","0","0","2021"
"Forest County","2011","May","201105","11.20","0","0","2021"
"Forest County","2011","April","201104","12.60","0","0","2021"
"Forest County","2011","March","201103","12.90","0","0","2021"
"Forest County","2011","February","201102","13.10","0","0","2021"
"Forest County","2011","January","201101","13.10","0","0","2021"
"Forest County","2010","December","201012","11.30","0","0","2021"
"Forest County","2010","November","201011","10.30","0","0","2021"
"Forest County","2010","October","201010","9","0","0","2021"
"Forest County","2010","September","201009","9.20","0","0","2021"
"Forest County","2010","August","201008","10.40","0","0","2021"
"Forest County","2010","July","201007","11","0","0","2021"
"Forest County","2010","June","201006","10.60","0","0","2021"
"Forest County","2010","May","201005","10.40","0","0","2021"
"Forest County","2010","April","201004","12.10","0","0","2021"
"Forest County","2010","March","201003","14.60","0","0","2021"
"Forest County","2010","February","201002","14.50","0","0","2021"
"Forest County","2010","January","201001","14.30","0","0","2021"
"Grant County","2022","July","202207","2.90","0","1","2021"
"Grant County","2022","June","202206","3.20","0","0","2021"
"Grant County","2022","May","202205","2.30","0","0","2021"
"Grant County","2022","April","202204","2.50","0","0","2021"
"Grant County","2022","March","202203","3","0","0","2021"
"Grant County","2022","February","202202","3.20","0","0","2021"
"Grant County","2022","January","202201","2.80","0","0","2021"
"Grant County","2021","December","202112","1.70","0","0","2021"
"Grant County","2021","November","202111","1.90","0","0","2021"
"Grant County","2021","October","202110","2.30","0","0","2021"
"Grant County","2021","September","202109","2.40","0","0","2021"
"Grant County","2021","August","202108","3","0","0","2021"
"Grant County","2021","July","202107","2.90","0","0","2021"
"Grant County","2021","June","202106","3.70","0","0","2021"
"Grant County","2021","May","202105","3.10","0","0","2021"
"Grant County","2021","April","202104","3.10","0","0","2021"
"Grant County","2021","March","202103","3.90","0","0","2021"
"Grant County","2021","February","202102","4.20","0","0","2021"
"Grant County","2021","January","202101","3.80","0","0","2021"
"Grant County","2020","December","202012","3.30","0","0","2021"
"Grant County","2020","November","202011","3.30","0","0","2021"
"Grant County","2020","October","202010","3.30","0","0","2021"
"Grant County","2020","September","202009","3.90","0","0","2021"
"Grant County","2020","August","202008","4.60","0","0","2021"
"Grant County","2020","July","202007","6","0","0","2021"
"Grant County","2020","June","202006","7.20","0","0","2021"
"Grant County","2020","May","202005","9.70","0","0","2021"
"Grant County","2020","April","202004","10.60","0","0","2021"
"Grant County","2020","March","202003","3.90","0","0","2021"
"Grant County","2020","February","202002","3.60","0","0","2021"
"Grant County","2020","January","202001","3.60","0","0","2021"
"Grant County","2019","December","201912","2.80","0","0","2021"
"Grant County","2019","November","201911","2.60","0","0","2021"
"Grant County","2019","October","201910","2.50","0","0","2021"
"Grant County","2019","September","201909","2.60","0","0","2021"
"Grant County","2019","August","201908","3.20","0","0","2021"
"Grant County","2019","July","201907","3.10","0","0","2021"
"Grant County","2019","June","201906","3.60","0","0","2021"
"Grant County","2019","May","201905","3.10","0","0","2021"
"Grant County","2019","April","201904","2.80","0","0","2021"
"Grant County","2019","March","201903","3.50","0","0","2021"
"Grant County","2019","February","201902","3.70","0","0","2021"
"Grant County","2019","January","201901","3.30","0","0","2021"
"Grant County","2018","December","201812","2.40","0","0","2021"
"Grant County","2018","November","201811","2.20","0","0","2021"
"Grant County","2018","October","201810","2.30","0","0","2021"
"Grant County","2018","September","201809","2.20","0","0","2021"
"Grant County","2018","August","201808","2.60","0","0","2021"
"Grant County","2018","July","201807","3","0","0","2021"
"Grant County","2018","June","201806","3.40","0","0","2021"
"Grant County","2018","May","201805","2.60","0","0","2021"
"Grant County","2018","April","201804","2.50","0","0","2021"
"Grant County","2018","March","201803","3.20","0","0","2021"
"Grant County","2018","February","201802","3.60","0","0","2021"
"Grant County","2018","January","201801","3.30","0","0","2021"
"Grant County","2017","December","201712","2.40","0","0","2021"
"Grant County","2017","November","201711","2.40","0","0","2021"
"Grant County","2017","October","201710","2.40","0","0","2021"
"Grant County","2017","September","201709","2.60","0","0","2021"
"Grant County","2017","August","201708","3.10","0","0","2021"
"Grant County","2017","July","201707","3.40","0","0","2021"
"Grant County","2017","June","201706","3.60","0","0","2021"
"Grant County","2017","May","201705","2.90","0","0","2021"
"Grant County","2017","April","201704","2.70","0","0","2021"
"Grant County","2017","March","201703","3.70","0","0","2021"
"Grant County","2017","February","201702","4.10","0","0","2021"
"Grant County","2017","January","201701","4.30","0","0","2021"
"Grant County","2016","December","201612","3","0","0","2021"
"Grant County","2016","November","201611","2.90","0","0","2021"
"Grant County","2016","October","201610","3.10","0","0","2021"
"Grant County","2016","September","201609","3.30","0","0","2021"
"Grant County","2016","August","201608","3.60","0","0","2021"
"Grant County","2016","July","201607","4.10","0","0","2021"
"Grant County","2016","June","201606","4.50","0","0","2021"
"Grant County","2016","May","201605","3.70","0","0","2021"
"Grant County","2016","April","201604","3.50","0","0","2021"
"Grant County","2016","March","201603","4.50","0","0","2021"
"Grant County","2016","February","201602","4.90","0","0","2021"
"Grant County","2016","January","201601","4.70","0","0","2021"
"Grant County","2015","December","201512","4","0","0","2021"
"Grant County","2015","November","201511","3.70","0","0","2021"
"Grant County","2015","October","201510","3.50","0","0","2021"
"Grant County","2015","September","201509","3.50","0","0","2021"
"Grant County","2015","August","201508","4","0","0","2021"
"Grant County","2015","July","201507","4.40","0","0","2021"
"Grant County","2015","June","201506","4.80","0","0","2021"
"Grant County","2015","May","201505","4.40","0","0","2021"
"Grant County","2015","April","201504","3.90","0","0","2021"
"Grant County","2015","March","201503","5","0","0","2021"
"Grant County","2015","February","201502","5.30","0","0","2021"
"Grant County","2015","January","201501","5.10","0","0","2021"
"Grant County","2014","December","201412","4","0","0","2021"
"Grant County","2014","November","201411","3.70","0","0","2021"
"Grant County","2014","October","201410","3.50","0","0","2021"
"Grant County","2014","September","201409","3.80","0","0","2021"
"Grant County","2014","August","201408","4.50","0","0","2021"
"Grant County","2014","July","201407","5","0","0","2021"
"Grant County","2014","June","201406","5.10","0","0","2021"
"Grant County","2014","May","201405","4.40","0","0","2021"
"Grant County","2014","April","201404","4.70","0","0","2021"
"Grant County","2014","March","201403","6.10","0","0","2021"
"Grant County","2014","February","201402","6.30","0","0","2021"
"Grant County","2014","January","201401","6","0","0","2021"
"Grant County","2013","December","201312","5","0","0","2021"
"Grant County","2013","November","201311","4.70","0","0","2021"
"Grant County","2013","October","201310","4.70","0","0","2021"
"Grant County","2013","September","201309","4.80","0","0","2021"
"Grant County","2013","August","201308","5.60","0","0","2021"
"Grant County","2013","July","201307","6","0","0","2021"
"Grant County","2013","June","201306","6.50","0","0","2021"
"Grant County","2013","May","201305","5.60","0","0","2021"
"Grant County","2013","April","201304","6","0","0","2021"
"Grant County","2013","March","201303","6.70","0","0","2021"
"Grant County","2013","February","201302","7.20","0","0","2021"
"Grant County","2013","January","201301","7.40","0","0","2021"
"Grant County","2012","December","201212","5.20","0","0","2021"
"Grant County","2012","November","201211","4.80","0","0","2021"
"Grant County","2012","October","201210","4.60","0","0","2021"
"Grant County","2012","September","201209","5","0","0","2021"
"Grant County","2012","August","201208","6.30","0","0","2021"
"Grant County","2012","July","201207","6.30","0","0","2021"
"Grant County","2012","June","201206","6.60","0","0","2021"
"Grant County","2012","May","201205","5.60","0","0","2021"
"Grant County","2012","April","201204","5.40","0","0","2021"
"Grant County","2012","March","201203","6.60","0","0","2021"
"Grant County","2012","February","201202","7.40","0","0","2021"
"Grant County","2012","January","201201","7.10","0","0","2021"
"Grant County","2011","December","201112","5.50","0","0","2021"
"Grant County","2011","November","201111","5.40","0","0","2021"
"Grant County","2011","October","201110","5.50","0","0","2021"
"Grant County","2011","September","201109","5.90","0","0","2021"
"Grant County","2011","August","201108","6.70","0","0","2021"
"Grant County","2011","July","201107","6.80","0","0","2021"
"Grant County","2011","June","201106","7.40","0","0","2021"
"Grant County","2011","May","201105","6.20","0","0","2021"
"Grant County","2011","April","201104","6.50","0","0","2021"
"Grant County","2011","March","201103","7.60","0","0","2021"
"Grant County","2011","February","201102","8.10","0","0","2021"
"Grant County","2011","January","201101","8","0","0","2021"
"Grant County","2010","December","201012","6.50","0","0","2021"
"Grant County","2010","November","201011","6.10","0","0","2021"
"Grant County","2010","October","201010","6.10","0","0","2021"
"Grant County","2010","September","201009","6.50","0","0","2021"
"Grant County","2010","August","201008","7.40","0","0","2021"
"Grant County","2010","July","201007","7.50","0","0","2021"
"Grant County","2010","June","201006","7.60","0","0","2021"
"Grant County","2010","May","201005","7.20","0","0","2021"
"Grant County","2010","April","201004","7.10","0","0","2021"
"Grant County","2010","March","201003","9.10","0","0","2021"
"Grant County","2010","February","201002","9.40","0","0","2021"
"Grant County","2010","January","201001","9","0","0","2021"
"Green County","2022","July","202207","2.70","0","1","2021"
"Green County","2022","June","202206","2.80","0","0","2021"
"Green County","2022","May","202205","2.10","0","0","2021"
"Green County","2022","April","202204","2","0","0","2021"
"Green County","2022","March","202203","2.90","0","0","2021"
"Green County","2022","February","202202","3","0","0","2021"
"Green County","2022","January","202201","2.90","0","0","2021"
"Green County","2021","December","202112","1.90","0","0","2021"
"Green County","2021","November","202111","1.90","0","0","2021"
"Green County","2021","October","202110","2.10","0","0","2021"
"Green County","2021","September","202109","2.30","0","0","2021"
"Green County","2021","August","202108","2.70","0","0","2021"
"Green County","2021","July","202107","3","0","0","2021"
"Green County","2021","June","202106","3.40","0","0","2021"
"Green County","2021","May","202105","3.20","0","0","2021"
"Green County","2021","April","202104","3.30","0","0","2021"
"Green County","2021","March","202103","4","0","0","2021"
"Green County","2021","February","202102","4.30","0","0","2021"
"Green County","2021","January","202101","4","0","0","2021"
"Green County","2020","December","202012","3.50","0","0","2021"
"Green County","2020","November","202011","3.20","0","0","2021"
"Green County","2020","October","202010","3.30","0","0","2021"
"Green County","2020","September","202009","3.80","0","0","2021"
"Green County","2020","August","202008","4.20","0","0","2021"
"Green County","2020","July","202007","5.70","0","0","2021"
"Green County","2020","June","202006","6.60","0","0","2021"
"Green County","2020","May","202005","7.40","0","0","2021"
"Green County","2020","April","202004","11.20","0","0","2021"
"Green County","2020","March","202003","3.60","0","0","2021"
"Green County","2020","February","202002","3.30","0","0","2021"
"Green County","2020","January","202001","3.10","0","0","2021"
"Green County","2019","December","201912","2.30","0","0","2021"
"Green County","2019","November","201911","2.20","0","0","2021"
"Green County","2019","October","201910","2.20","0","0","2021"
"Green County","2019","September","201909","2.30","0","0","2021"
"Green County","2019","August","201908","2.60","0","0","2021"
"Green County","2019","July","201907","2.80","0","0","2021"
"Green County","2019","June","201906","3.20","0","0","2021"
"Green County","2019","May","201905","2.70","0","0","2021"
